Suburb,Local_authority,Average_property_value,Date
Muriwai,Auckland Rodney,1454000,2025-01-01
Welcome Bay,Western Bay of Plenty,895000,2025-01-01
Linwood,Christchurch,492000,2025-01-01
Mangapapa,Gisborne,627000,2025-01-01
Levin,Horowhenua,582000,2025-01-01
Kensington,Whangarei,616000,2025-01-01
Whau Valley,Whangarei,682000,2025-01-01
Te Marua,Upper Hutt,824000,2025-01-01
Kohimarama,Auckland City,2187000,2025-01-01
Clover Park,Auckland Manukau,849000,2025-01-01
Riverhead,Auckland Rodney,1823000,2025-01-01
Silverdale,Auckland Rodney,1354000,2025-01-01
Te Atatu Peninsula,Auckland Waitakere,1087000,2025-01-01
Beckenham,Christchurch,877000,2025-01-01
Mahora,Hastings,710000,2025-01-01
Tangoio,Hastings,1031000,2025-01-01
Horahora,Whangarei,645000,2025-01-01
Jacks Point,Queenstown-Lakes,1767000,2025-01-01
New Plymouth,New Plymouth,861000,2025-01-01
Hawera,South Taranaki,533000,2025-01-01
Churton Park,Wellington,1089000,2025-01-01
Totara Heights,Auckland Manukau,1009000,2025-01-01
Bellevue,Tauranga,784000,2025-01-01
Cloverlea,Palmerston North,554000,2025-01-01
Tikipunga,Whangarei,610000,2025-01-01
Waipu,Whangarei,1123000,2025-01-01
Hurworth,New Plymouth,1130000,2025-01-01
Pirongia,Waipa,1028000,2025-01-01
Fairfield,Lower Hutt,760000,2025-01-01
Karori,Wellington,1061000,2025-01-01
Miramar,Wellington,992000,2025-01-01
Favona,Auckland Manukau,845000,2025-01-01
Hillcrest,Rotorua,591000,2025-01-01
Maori Hill,Timaru,581000,2025-01-01
Inner Kaiti,Gisborne,701000,2025-01-01
Westshore,Napier,1009000,2025-01-01
Hokowhitu,Palmerston North,789000,2025-01-01
Riverton/Aparima,Southland,651000,2025-01-01
Bell Block,New Plymouth,748000,2025-01-01
Camborne,Porirua,908000,2025-01-01
Island Bay,Wellington,1130000,2025-01-01
Meadowbank,Auckland City,1647000,2025-01-01
Wesley,Auckland City,1107000,2025-01-01
Beachlands,Auckland Manukau,1560000,2025-01-01
Titirangi,Auckland Waitakere,1180000,2025-01-01
Fitzherbert,Palmerston North,935000,2025-01-01
Raumanga,Whangarei,490000,2025-01-01
Highlands Park,New Plymouth,884000,2025-01-01
Whitianga,Thames-Coromandel,1038000,2025-01-01
Greenlane,Auckland City,1834000,2025-01-01
Waiuku,Auckland Franklin,870000,2025-01-01
Cockle Bay,Auckland Manukau,1606000,2025-01-01
Katikati,Western Bay of Plenty,767000,2025-01-01
Marewa,Napier,564000,2025-01-01
Wairoa,Wairoa,317000,2025-01-01
Terrace End,Palmerston North,633000,2025-01-01
Mayfield,Marlborough,558000,2025-01-01
Regent,Whangarei,670000,2025-01-01
Whangamata,Thames-Coromandel,1382000,2025-01-01
Petone,Lower Hutt,819000,2025-01-01
Glendowie,Auckland City,2245000,2025-01-01
Mount Albert,Auckland City,1338000,2025-01-01
Goodwood Heights,Auckland Manukau,1047000,2025-01-01
Brookfield,Tauranga,796000,2025-01-01
Papamoa,Western Bay of Plenty,899000,2025-01-01
Bulls,Rangitikei,541000,2025-01-01
Witherlea,Marlborough,746000,2025-01-01
Parahaki,Whangarei,730000,2025-01-01
Whalers Gate,New Plymouth,778000,2025-01-01
Titahi Bay,Porirua,697000,2025-01-01
Whitby,Porirua,953000,2025-01-01
Newtown,Wellington,925000,2025-01-01
Sandringham,Auckland City,1357000,2025-01-01
Birkenhead,Auckland North Shore,1323000,2025-01-01
Manly,Auckland Rodney,1229000,2025-01-01
Glenholme,Rotorua,652000,2025-01-01
Pomare,Rotorua,715000,2025-01-01
Tamatea,Napier,611000,2025-01-01
Havelock,Marlborough,683000,2025-01-01
Renwick,Marlborough,756000,2025-01-01
Normandale,Lower Hutt,874000,2025-01-01
Cannons Creek,Porirua,549000,2025-01-01
Broadmeadows,Wellington,874000,2025-01-01
Herne Bay,Auckland City,3590000,2025-01-01
Orakei,Auckland City,2396000,2025-01-01
Wiri,Auckland Manukau,677000,2025-01-01
Birkdale,Auckland North Shore,957000,2025-01-01
Poraiti,Napier,1220000,2025-01-01
Tokomaru,Horowhenua,662000,2025-01-01
Milson,Palmerston North,620000,2025-01-01
West End,Palmerston North,591000,2025-01-01
Kaeo,Far North,818000,2025-01-01
Maunu,Whangarei,974000,2025-01-01
Onerahi,Whangarei,630000,2025-01-01
Temple View,Waipa,1015000,2025-01-01
Te Kuiti,Waitomo,455000,2025-01-01
Alicetown,Lower Hutt,804000,2025-01-01
Surfdale,Auckland City,1337000,2025-01-01
Camberley,Hastings,543000,2025-01-01
Roslyn,Palmerston North,542000,2025-01-01
Takaro,Palmerston North,552000,2025-01-01
Picton,Marlborough,636000,2025-01-01
Gore,Gore,471000,2025-01-01
Waihi,Hauraki,693000,2025-01-01
Waiwhetu,Lower Hutt,728000,2025-01-01
Albany Heights,Auckland North Shore,1407000,2025-01-01
Rothesay Bay,Auckland North Shore,1618000,2025-01-01
Dairy Flat,Auckland Rodney,2353000,2025-01-01
Laingholm,Auckland Waitakere,1003000,2025-01-01
Hamurana,Rotorua,1179000,2025-01-01
Dargaville,Kaipara,518000,2025-01-01
Grey Lynn,Auckland City,1782000,2025-01-01
Point Chevalier,Auckland City,1893000,2025-01-01
Parakai,Auckland Rodney,770000,2025-01-01
Henderson Valley,Auckland Waitakere,1301000,2025-01-01
Havelock North,Hastings,1190000,2025-01-01
Raureka,Hastings,622000,2025-01-01
Paihia,Far North,814000,2025-01-01
Riwaka,Tasman,791000,2025-01-01
Tirau,South Waikato,655000,2025-01-01
Eastbourne,Lower Hutt,1112000,2025-01-01
Seatoun,Wellington,1706000,2025-01-01
Wadestown,Wellington,1222000,2025-01-01
Mount Roskill,Auckland City,1131000,2025-01-01
Parnell,Auckland City,2078000,2025-01-01
East Tamaki,Auckland Manukau,1118000,2025-01-01
Long Bay,Auckland North Shore,1717000,2025-01-01
New Lynn,Auckland Waitakere,854000,2025-01-01
Kawaha Point,Rotorua,764000,2025-01-01
Saint Leonards,Hastings,608000,2025-01-01
Ahipara,Far North,642000,2025-01-01
Matamata,Matamata-Piako,798000,2025-01-01
Paparangi,Wellington,830000,2025-01-01
Saint Johns,Auckland City,1470000,2025-01-01
Beach Haven,Auckland North Shore,1048000,2025-01-01
Mairangi Bay,Auckland North Shore,1742000,2025-01-01
Fairy Springs,Rotorua,546000,2025-01-01
Pyes Pa,Western Bay of Plenty,1102000,2025-01-01
Te Awamutu,Waipa,784000,2025-01-01
Epsom,Auckland City,2135000,2025-01-01
Panmure,Auckland City,987000,2025-01-01
Royal Oak,Auckland City,1370000,2025-01-01
Clevedon,Auckland Manukau,2015000,2025-01-01
Northcote Point,Auckland North Shore,1709000,2025-01-01
Sunnybrook,Rotorua,700000,2025-01-01
Greerton,Tauranga,701000,2025-01-01
Ohauiti,Western Bay of Plenty,1099000,2025-01-01
The Wood,Nelson,773000,2025-01-01
Te Kowhai,Waikato,1292000,2025-01-01
Featherston,South Wairarapa,558000,2025-01-01
Saint Marys Bay,Auckland City,2909000,2025-01-01
Glenbrook,Auckland Franklin,1157000,2025-01-01
Randwick Park,Auckland Manukau,772000,2025-01-01
Somerville,Auckland Manukau,1448000,2025-01-01
The Brook,Nelson,677000,2025-01-01
Hunua,Auckland Franklin,1391000,2025-01-01
East Tamaki Heights,Auckland Manukau,1753000,2025-01-01
Green Bay,Auckland Waitakere,1170000,2025-01-01
Paparoa,Kaipara,711000,2025-01-01
Pukekohe,Auckland Franklin,899000,2025-01-01
Golflands,Auckland Manukau,1281000,2025-01-01
Papatoetoe,Auckland Manukau,841000,2025-01-01
Shelly Park,Auckland Manukau,1549000,2025-01-01
Arthurs Point,Queenstown-Lakes,1583000,2025-01-01
Lake Hawea,Queenstown-Lakes,1273000,2025-01-01
Taupiri,Waikato,1015000,2025-01-01
Pukerua Bay,Porirua,845000,2025-01-01
Northcross,Auckland North Shore,1292000,2025-01-01
Conifer Grove,Auckland Papakura,1003000,2025-01-01
Maungatapu,Tauranga,882000,2025-01-01
Greenmeadows,Napier,785000,2025-01-01
Taita,Lower Hutt,614000,2025-01-01
Crofton Downs,Wellington,1009000,2025-01-01
Kingsland,Auckland City,1353000,2025-01-01
New Windsor,Auckland City,1205000,2025-01-01
One Tree Hill,Auckland City,1328000,2025-01-01
Westmere,Auckland City,2547000,2025-01-01
Mangere,Auckland Manukau,843000,2025-01-01
Judea,Tauranga,712000,2025-01-01
Papamoa Beach,Tauranga,1071000,2025-01-01
Marybank,Nelson,910000,2025-01-01
Ascot Park,Porirua,644000,2025-01-01
Khandallah,Wellington,1232000,2025-01-01
Swanson,Auckland Waitakere,1135000,2025-01-01
Whakatane,Whakatane,672000,2025-01-01
Te Awa,Napier,801000,2025-01-01
Shannon,Horowhenua,476000,2025-01-01
Haruru,Far North,827000,2025-01-01
Waipapa,Far North,1016000,2025-01-01
Newlands,Wellington,824000,2025-01-01
Woodridge,Wellington,950000,2025-01-01
Stonefields,Auckland City,1531000,2025-01-01
Wai o Taiki Bay,Auckland City,1530000,2025-01-01
Hauraki,Auckland North Shore,1981000,2025-01-01
Takapuna,Auckland North Shore,2154000,2025-01-01
Karaka,Auckland Papakura,1581000,2025-01-01
Ohau,Horowhenua,970000,2025-01-01
Hillsborough,Auckland City,1272000,2025-01-01
Botany Downs,Auckland Manukau,1242000,2025-01-01
Otara,Auckland Manukau,753000,2025-01-01
The Gardens,Auckland Manukau,1266000,2025-01-01
Rosehill,Auckland Papakura,926000,2025-01-01
Te Atatu South,Auckland Waitakere,919000,2025-01-01
Papakowhai,Porirua,855000,2025-01-01
Ellerslie,Auckland City,1193000,2025-01-01
Lynfield,Auckland City,1301000,2025-01-01
Mount Eden,Auckland City,1693000,2025-01-01
Flat Bush,Auckland Manukau,1311000,2025-01-01
Sunnyhills,Auckland Manukau,1626000,2025-01-01
Chatswood,Auckland North Shore,1464000,2025-01-01
Otumoetai,Tauranga,1026000,2025-01-01
Stratford,Stratford,522000,2025-01-01
Farm Cove,Auckland Manukau,1718000,2025-01-01
Takanini,Auckland Papakura,909000,2025-01-01
Taumarunui,Ruapehu,356000,2025-01-01
Nelson,Nelson,1116000,2025-01-01
Kerikeri,Far North,1050000,2025-01-01
Putaruru,South Waikato,527000,2025-01-01
Maungaraki,Lower Hutt,843000,2025-01-01
Tauranga South,Tauranga,883000,2025-01-01
Tutukaka,Whangarei,1257000,2025-01-01
Waiwhakaiho,New Plymouth,1147000,2025-01-01
Wattle Downs,Auckland Manukau,1018000,2025-01-01
Ranui,Porirua,604000,2025-01-01
Hataitai,Wellington,1134000,2025-01-01
Manukau,Auckland Manukau,612000,2025-01-01
Sunnyvale,Auckland Waitakere,862000,2025-01-01
Remuera,Auckland City,2636000,2025-01-01
Whitford,Auckland Manukau,3285000,2025-01-01
Lytton West,Gisborne,897000,2025-01-01
Foxton Beach,Horowhenua,611000,2025-01-01
Hope,Tasman,1233000,2025-01-01
Carterton,Carterton,618000,2025-01-01
Aotea,Porirua,1176000,2025-01-01
Ngaio,Wellington,1016000,2025-01-01
Northland,Wellington,1060000,2025-01-01
Ponsonby,Auckland City,2349000,2025-01-01
Ramarama,Auckland Franklin,1439000,2025-01-01
Half Moon Bay,Auckland Manukau,1550000,2025-01-01
Kilbirnie,Wellington,846000,2025-01-01
Howick,Auckland Manukau,1164000,2025-01-01
Westgate,Auckland Waitakere,894000,2025-01-01
Avondale,Auckland City,944000,2025-01-01
Great Barrier Island (Aotea Island),Auckland City,793000,2025-01-01
Blockhouse Bay,Auckland City,1148000,2025-01-01
Point England,Auckland City,959000,2025-01-01
Mangere Bridge,Auckland Manukau,1132000,2025-01-01
Pahurehure,Auckland Papakura,971000,2025-01-01
Clarks Beach,Auckland Franklin,1139000,2025-01-01
Highland Park,Auckland Manukau,1132000,2025-01-01
Mellons Bay,Auckland Manukau,2084000,2025-01-01
Belmont,Auckland North Shore,1529000,2025-01-01
Glendene,Auckland Waitakere,921000,2025-01-01
Ngaruawahia,Waikato,721000,2025-01-01
Mount Cook,Wellington,737000,2025-01-01
Three Kings,Auckland City,1135000,2025-01-01
Awanui,Far North,457000,2025-01-01
Mangonui,Far North,812000,2025-01-01
Glen Innes,Auckland City,1109000,2025-01-01
Ohope,Whakatane,1252000,2025-01-01
Karikari Peninsula,Far North,731000,2025-01-01
Thames,Thames-Coromandel,714000,2025-01-01
Mount Wellington,Auckland City,955000,2025-01-01
Onehunga,Auckland City,1098000,2025-01-01
Hospital Hill,Napier,904000,2025-01-01
Roseneath,Wellington,1465000,2025-01-01
Waterview,Auckland City,1011000,2025-01-01
West Harbour,Auckland Waitakere,1225000,2025-01-01
Palmerston North,Palmerston North,611000,2025-01-01
East Gore,Gore,396000,2025-01-01
Aro Valley,Wellington,908000,2025-01-01
Lyall Bay,Wellington,944000,2025-01-01
Brooklyn,Wellington,1042000,2025-01-01
Johnsonville,Wellington,811000,2025-01-01
Hillpark,Auckland Manukau,895000,2025-01-01
Northcote,Auckland North Shore,1178000,2025-01-01
Massey,Auckland Waitakere,935000,2025-01-01
Te Aro,Wellington,668000,2025-01-01
Narrow Neck,Auckland North Shore,1908000,2025-01-01
Papakura,Auckland Papakura,807000,2025-01-01
Wainui,Auckland Rodney,1395000,2025-01-01
Kelston,Auckland Waitakere,860000,2025-01-01
Pukehina,Western Bay of Plenty,1208000,2025-01-01
Otahuhu,Auckland City,743000,2025-01-01
Fenton Park,Rotorua,493000,2025-01-01
Ranui,Auckland Waitakere,808000,2025-01-01
Tairua,Thames-Coromandel,1072000,2025-01-01
Mount Victoria,Wellington,1159000,2025-01-01
Bluff Hill,Napier,935000,2025-01-01
Morningside,Auckland City,1231000,2025-01-01
Opaheke,Auckland Papakura,1027000,2025-01-01
Manurewa East,Auckland Manukau,708000,2025-01-01
Henderson,Auckland Waitakere,898000,2025-01-01
Waihi Beach,Western Bay of Plenty,1429000,2025-01-01
Manurewa,Auckland Manukau,785000,2025-01-01
Coromandel,Thames-Coromandel,805000,2025-01-01
Pakuranga Heights,Auckland Manukau,1130000,2025-01-01
Bayswater,Auckland North Shore,1657000,2025-01-01
Bucklands Beach,Auckland Manukau,1644000,2025-01-01
Red Hill,Auckland Papakura,799000,2025-01-01
Newmarket,Auckland City,834000,2025-01-01
Maupuia,Wellington,888000,2025-01-01
Waitarere Beach,Horowhenua,610000,2025-01-01
Taihape,Rangitikei,386000,2025-01-01
Penrose,Auckland City,985000,2025-01-01
Strathmore Park,Wellington,968000,2025-01-01
Pakuranga,Auckland Manukau,1092000,2025-01-01
Thorndon,Wellington,893000,2025-01-01
Kelburn,Wellington,1373000,2025-01-01
Paerata,Auckland Franklin,1356000,2025-01-01
Wellington Central,Wellington,498000,2025-01-01
Mataura,Gore,294000,2025-01-01
Totara Park,Auckland Manukau,1485000,2025-01-01
Peacocke,Hamilton,1125000,2025-01-01
