Suburb,District,Average property value,3-month change %
Te Atatu Peninsula,Auckland Waitakere,"$1,079,000",0.4
Hurworth,New Plymouth,"$1,137,000",0.4
Highland Park,Auckland Manukau,"$1,138,000",0.4
Aongatete,Western Bay of Plenty,"$1,307,000",0.4
Eskdale,Hastings,"$1,347,000",0.4
Arrowtown,Queenstown-Lakes,"$2,809,000",0.4
Whitford,Auckland Manukau,"$3,353,000",0.4
Washington Valley,Nelson,"$615,000",0.3
Onerahi,Whangarei,"$624,000",0.3
Upper Riccarton,Christchurch,"$685,000",0.3
Upper Vogeltown,New Plymouth,"$690,000",0.3
Te Aroha,Matamata-Piako,"$691,000",0.3
Kaiapoi,Waimakariri,"$700,000",0.3
North Dunedin,Dunedin,"$707,000",0.3
Clendon Park,Auckland Manukau,"$734,000",0.3
Papanui,Christchurch,"$769,000",0.3
Ferndale,New Plymouth,"$789,000",0.3
Kelvin Grove,Palmerston North,"$796,000",0.3
Silverstream,Upper Hutt,"$876,000",0.3
Point England,Auckland City,"$959,000",0.3
Cashmere,Christchurch,"$1,159,000",0.3
Hamurana,Rotorua,"$1,182,000",0.3
Wadestown,Wellington,"$1,211,000",0.3
Omanawa,Western Bay of Plenty,"$1,409,000",0.3
Glenorchy,Queenstown-Lakes,"$1,498,000",0.3
Tapanui,Clutha,"$436,000",0.2
Kaitaia,Far North,"$456,000",0.2
Gore,Gore,"$477,000",0.2
Seaview,Timaru,"$479,000",0.2
Normanby,South Taranaki,"$520,000",0.2
Temuka,Timaru,"$524,000",0.2
Kuripuni,Masterton,"$525,000",0.2
Huntly,Waikato,"$553,000",0.2
Cannons Creek,Porirua,"$565,000",0.2
Concord,Dunedin,"$569,000",0.2
Netherby,Ashburton,"$570,000",0.2
Tokomaru,Horowhenua,"$660,000",0.2
Kilbirnie,Wellington,"$844,000",0.2
Broadmeadows,Wellington,"$872,000",0.2
Beckenham,Christchurch,"$874,000",0.2
Thorndon,Wellington,"$885,000",0.2
Massey,Auckland Waitakere,"$941,000",0.2
Mount Wellington,Auckland City,"$961,000",0.2
Northcote,Auckland North Shore,"$1,200,000",0.2
Meadowbank,Auckland City,"$1,673,000",0.2
Parkvale,Tauranga,"$671,000",0.1
Frankleigh Park,New Plymouth,"$705,000",0.1
Birchville,Upper Hutt,"$707,000",0.1
Russley,Christchurch,"$712,000",0.1
Monaco,Nelson,"$750,000",0.1
Katikati,Western Bay of Plenty,"$780,000",0.1
Tangoio,Hastings,"$1,011,000",0.1
Pauanui,Thames-Coromandel,"$1,527,000",0.1
Strathern,Invercargill,"$398,000",0
Eketahuna,Tararua,"$422,000",0
Forbury,Dunedin,"$447,000",0
Newfield,Invercargill,"$464,000",0
Outer Kaiti,Gisborne,"$498,000",0
Dallington,Christchurch,"$599,000",0
Wakari,Dunedin,"$600,000",0
Terrace End,Palmerston North,"$627,000",0
Gladstone,Invercargill,"$628,000",0
Parkvale,Hastings,"$664,000",0
Bishopdale,Christchurch,"$688,000",0
Poike,Tauranga,"$707,000",0
Hamilton East,Hamilton,"$721,000",0
Brown Owl,Upper Hutt,"$747,000",0
Pinehaven,Upper Hutt,"$760,000",0
Merrilands,New Plymouth,"$767,000",0
Manurewa,Auckland Manukau,"$781,000",0
Papakura,Auckland Papakura,"$810,000",0
Te Kauwhata,Waikato,"$826,000",0
Chartwell,Hamilton,"$827,000",0
Tuakau,Waikato,"$831,000",0
Belmont,Lower Hutt,"$918,000",0
Swanson,Auckland Waitakere,"$1,147,000",0
Palm Beach,Auckland City,"$2,024,000",0
Hillmorton,Christchurch,"$683,000",-0.1
Christchurch Central,Christchurch,"$688,000",-0.1
Belfast,Christchurch,"$696,000",-0.1
Mosgiel,Dunedin,"$743,000",-0.1
Alicetown,Lower Hutt,"$793,000",-0.1
Hurdon,New Plymouth,"$802,000",-0.1
Templeton,Christchurch,"$803,000",-0.1
Whataupoko,Gisborne,"$818,000",-0.1
Gleniti,Timaru,"$820,000",-0.1
Kelson,Lower Hutt,"$830,000",-0.1
Huntsbury,Christchurch,"$1,140,000",-0.1
Matua,Tauranga,"$1,172,000",-0.1
Fernhill,Queenstown-Lakes,"$1,368,000",-0.1
Waverley,South Taranaki,"$424,000",-0.2
Marton,Rangitikei,"$495,000",-0.2
West End,Timaru,"$499,000",-0.2
Brockville,Dunedin,"$527,000",-0.2
Roslyn,Palmerston North,"$536,000",-0.2
Spotswood,New Plymouth,"$560,000",-0.2
Mornington,Dunedin,"$576,000",-0.2
Hastings,Hastings,"$597,000",-0.2
Karoro,Grey,"$610,000",-0.2
Mangapapa,Gisborne,"$630,000",-0.2
Clouston Park,Upper Hutt,"$661,000",-0.2
Petone,Lower Hutt,"$800,000",-0.2
Otatara,Invercargill,"$804,000",-0.2
Papakowhai,Porirua,"$873,000",-0.2
Kaiwaka,Kaipara,"$917,000",-0.2
Leamington,Waipa,"$934,000",-0.2
Otumoetai,Tauranga,"$1,013,000",-0.2
Sumner,Christchurch,"$1,202,000",-0.2
Albert Town,Queenstown-Lakes,"$1,626,000",-0.2
Bucklands Beach,Auckland Manukau,"$1,659,000",-0.2
Patea,South Taranaki,"$306,000",-0.3
Bluff,Invercargill,"$355,000",-0.3
Georgetown,Invercargill,"$395,000",-0.3
