Suburb,TLA,Current average property value,1-year change %
Enner Glynn,Nelson,"$885,000",-1
Woodhill,Whangarei,"$588,000",-1
Naenae,Lower Hutt,"$620,000",-1
Northpark,Auckland Manukau,"$1,450,000",-1.1
Schnapper Rock,Auckland North Shore,"$1,668,000",-1.1
Whenuapai,Auckland Waitakere,"$1,239,000",-1.1
Pukehangi,Rotorua,"$623,000",-1.1
Springfield,Rotorua,"$791,000",-1.1
Oceanview,Timaru,"$639,000",-1.1
Taradale,Napier,"$819,000",-1.1
Highbury,Palmerston North,"$526,000",-1.1
Kelvin Grove,Palmerston North,"$801,000",-1.1
Burleigh,Marlborough,"$1,008,000",-1.1
Maungakaramea,Whangarei,"$846,000",-1.1
Maungatapere,Whangarei,"$1,018,000",-1.1
Parua Bay,Whangarei,"$1,094,000",-1.1
Mission Bay,Auckland City,"$2,201,000",-1.2
Devonport,Auckland North Shore,"$2,128,000",-1.2
Oteha,Auckland North Shore,"$1,190,000",-1.2
Hatfields Beach,Auckland Rodney,"$1,142,000",-1.2
Stanmore Bay,Auckland Rodney,"$1,068,000",-1.2
Hairini,Tauranga,"$760,000",-1.2
Blenheim,Marlborough,"$591,000",-1.2
One Tree Point,Whangarei,"$1,071,000",-1.2
Ruakaka,Whangarei,"$900,000",-1.2
Hurdon,New Plymouth,"$809,000",-1.2
Lower Vogeltown,New Plymouth,"$715,000",-1.2
Murrays Bay,Auckland North Shore,"$1,788,000",-1.3
Gulf Harbour,Auckland Rodney,"$1,075,000",-1.3
Waimauku,Auckland Rodney,"$1,590,000",-1.3
Waiotahe,Opotiki,"$999,000",-1.3
Gisborne,Gisborne,"$550,000",-1.3
Akina,Hastings,"$624,000",-1.3
Bay View,Napier,"$1,012,000",-1.3
Pirimai,Napier,"$617,000",-1.3
Waikawa,Marlborough,"$934,000",-1.3
Merrilands,New Plymouth,"$765,000",-1.3
Pauanui,Thames-Coromandel,"$1,553,000",-1.3
Horotiu,Waikato,"$948,000",-1.3
Hutt Central,Lower Hutt,"$981,000",-1.3
Plimmerton,Porirua,"$979,000",-1.3
Tawa,Wellington,"$851,000",-1.3
Ostend,Auckland City,"$1,450,000",-1.4
Muriwai,Auckland Rodney,"$1,454,000",-1.4
Welcome Bay,Western Bay of Plenty,"$895,000",-1.4
Linwood,Christchurch,"$492,000",-1.4
Mangapapa,Gisborne,"$627,000",-1.4
Levin,Horowhenua,"$582,000",-1.4
Kensington,Whangarei,"$616,000",-1.4
Whau Valley,Whangarei,"$682,000",-1.4
Te Marua,Upper Hutt,"$824,000",-1.4
Kohimarama,Auckland City,"$2,187,000",-1.5
Clover Park,Auckland Manukau,"$849,000",-1.5
Riverhead,Auckland Rodney,"$1,823,000",-1.5
Silverdale,Auckland Rodney,"$1,354,000",-1.5
Te Atatu Peninsula,Auckland Waitakere,"$1,087,000",-1.5
Beckenham,Christchurch,"$877,000",-1.5
Mahora,Hastings,"$710,000",-1.5
Tangoio,Hastings,"$1,031,000",-1.5
Horahora,Whangarei,"$645,000",-1.5
Jacks Point,Queenstown-Lakes,"$1,767,000",-1.5
New Plymouth,New Plymouth,"$861,000",-1.5
Hawera,South Taranaki,"$533,000",-1.5
Churton Park,Wellington,"$1,089,000",-1.5
Totara Heights,Auckland Manukau,"$1,009,000",-1.6
Bellevue,Tauranga,"$784,000",-1.6
Cloverlea,Palmerston North,"$554,000",-1.6
Tikipunga,Whangarei,"$610,000",-1.6
Waipu,Whangarei,"$1,123,000",-1.6
Hurworth,New Plymouth,"$1,130,000",-1.6
Pirongia,Waipa,"$1,028,000",-1.6
Fairfield,Lower Hutt,"$760,000",-1.6
Karori,Wellington,"$1,061,000",-1.6
Miramar,Wellington,"$992,000",-1.6
Favona,Auckland Manukau,"$845,000",-1.7
Hillcrest,Rotorua,"$591,000",-1.7
Maori Hill,Timaru,"$581,000",-1.7
Inner Kaiti,Gisborne,"$701,000",-1.7
Westshore,Napier,"$1,009,000",-1.7
Hokowhitu,Palmerston North,"$789,000",-1.7
Riverton/Aparima,Southland,"$651,000",-1.7
Bell Block,New Plymouth,"$748,000",-1.7
Camborne,Porirua,"$908,000",-1.7
Island Bay,Wellington,"$1,130,000",-1.7
